,Unnamed: 0,Unnamed: 0.1,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Survivors,New_Stability
7410,7410,37,4,6,12,0.3,0.5,1.1907042130773002,0.8831299825173134,"['[[-160   87]', ' [ -38   42]', ' [ 191  -91]', ' [ 188  132]]']","['[[  29  135]', ' [ -51  133]', ' [ -17 -186]', ' [-156  -28]', ' [-120  175]', ' [ -71  -12]]']",0.9,0.9,1.0
7411,7411,38,4,6,46,0.3,0.5,1.1907042130773002,0.8831299825173134,"['[[-160   87]', ' [ -38   42]', ' [ 191  -91]', ' [ 188  132]]']","['[[  29  135]', ' [ -51  133]', ' [ -17 -186]', ' [-156  -28]', ' [-120  175]', ' [ -71  -12]]']",0.9,0.9,1.0
7418,7418,49,9,9,36,0.3,0.5,1.1084491666836236,1.047334202122593,"['[[-174   -9]', ' [-139   33]', ' [  51 -172]', ' [ -81 -120]', ' [ 151 -143]', ' [ -23   36]', ' [ 139  104]', ' [ 144   -9]', ' [  28  -40]]']","['[[  82   42]', ' [ -89   55]', ' [  -5 -180]', ' [  87   81]', ' [-138    1]', ' [ 190  129]', ' [ -42  -66]', ' [ -98  -84]', ' [  19 -143]]']",0.9,0.9,1.0
7419,7419,50,1,10,36,0.1,0.6,0.0,1.1323220697696508,['[[-89 -36]]'],"['[[ 117  -12]', ' [ -68  156]', ' [-180 -159]', ' [ 170  105]', ' [  54 -187]', ' [ 194  -32]', ' [ -16  -62]', ' [ 158  179]', ' [ -19 -191]', ' [  54   14]]']",0.9,0.9,1.0
7420,7420,51,1,10,46,0.1,0.6,0.0,1.1323220697696508,['[[-89 -36]]'],"['[[ 117  -12]', ' [ -68  156]', ' [-180 -159]', ' [ 170  105]', ' [  54 -187]', ' [ 194  -32]', ' [ -16  -62]', ' [ 158  179]', ' [ -19 -191]', ' [  54   14]]']",0.9,0.9,1.0
7425,7425,56,1,10,12,0.6,0.3,0.0,1.1323220697696508,['[[-89 -36]]'],"['[[ 117  -12]', ' [ -68  156]', ' [-180 -159]', ' [ 170  105]', ' [  54 -187]', ' [ 194  -32]', ' [ -16  -62]', ' [ 158  179]', ' [ -19 -191]', ' [  54   14]]']",0.9,0.9,1.0
7429,7429,60,6,9,36,0.3,0.5,0.9294999796596228,0.796580764368706,"['[[-116  153]', ' [  85   43]', ' [  -1  164]', ' [ 179  188]', ' [ -86  -37]', ' [ -86  -84]]']","['[[ -68   23]', ' [ 119   71]', ' [  63 -117]', ' [  42   68]', ' [ 161 -177]', ' [ 156  -62]', ' [ 191 -161]', ' [ 132  168]', ' [ 154  -99]]']",0.9,0.9,1.0
7430,7430,61,6,9,46,0.3,0.5,0.9294999796596228,0.796580764368706,"['[[-116  153]', ' [  85   43]', ' [  -1  164]', ' [ 179  188]', ' [ -86  -37]', ' [ -86  -84]]']","['[[ -68   23]', ' [ 119   71]', ' [  63 -117]', ' [  42   68]', ' [ 161 -177]', ' [ 156  -62]', ' [ 191 -161]', ' [ 132  168]', ' [ 154  -99]]']",0.9,0.9,1.0
7431,7431,65,8,1,12,0.5,0.3,0.6952459307884866,0.0,"['[[ -18 -160]', ' [  33 -146]', ' [ -37 -134]', ' [  45    3]', ' [ -24   84]', ' [ 146  -14]', ' [ -60  187]', ' [ -98  -22]]']",['[[-196  123]]'],0.9,0.9,1.0
7432,7432,66,2,2,24,0.3,0.5,1.6614384627739052,1.1212863010241063,"['[[-125 -168]', ' [ 123  199]]']","['[[ -14  130]', ' [ 142 -125]]']",0.9,0.9,1.0
