,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,s1
50,2,9,1,12,0.3,0.5,0.9635812952468463,1.1837831295547099,0.0,0.0,"[[  -7 -107]
 [-150   51]]","[[-175 -101]
 [ 121  182]
 [-112 -146]
 [-199 -152]
 [  89  130]
 [ -94 -156]
 [ -21  110]
 [ 172 -156]
 [ 172   69]]",[[ 172 -156]],0.0,"frozenset({-7, -150, 51, -107})"
51,9,8,10,12,0.3,0.5,1.032069479714541,1.0072593039502675,0.9783102130408644,1.0818375754089102,"[[   6  -22]
 [  35   14]
 [ -51  133]
 [ 195   80]
 [ 197 -182]
 [-121   38]
 [-189  -18]
 [  -7 -115]
 [-162   57]]","[[  11 -179]
 [-197 -125]
 [ -92  100]
 [-152  -54]
 [ 110 -129]
 [  42 -121]
 [-152  -23]
 [ 191  -44]]","[[-162   57]
 [  11 -179]
 [-197 -125]
 [ -92  100]
 [-152  -54]
 [ 110 -129]
 [  42 -121]
 [-152  -23]
 [ 191  -44]
 [-107  -71]]",1.0,"frozenset({195, -189, 133, 6, 197, -121, -182, -51, 14, -115, 80, -162, 57, 35, 38, -22, -18, -7})"
52,3,6,5,12,0.3,0.5,1.0641020554736669,1.0331182243624528,0.8199855957518908,0.8933447030224415,"[[ 119 -151]
 [-164   96]
 [ 147 -149]]","[[ -10  -66]
 [-174  146]
 [-155  -63]
 [  12 -167]
 [ 192  123]
 [ 121  112]]","[[  12 -167]
 [ 192  123]
 [ 121  112]
 [  27   49]
 [ 126  -57]]",0.4,"frozenset({96, 147, 119, -151, -149, -164})"
53,4,5,1,12,0.3,0.5,0.9554113512729787,1.1669464594642835,0.0,0.0,"[[  67  -81]
 [  -3  -87]
 [  85  149]
 [  40 -120]]","[[  61  114]
 [  11  -26]
 [ 151 -197]
 [   7   51]
 [ 191  -32]]",[[ 11 -26]],0.9,"frozenset({67, 40, -87, -120, -81, 85, 149, -3})"
54,2,3,9,12,0.3,0.5,1.3739480603095702,1.09636656643417,0.9484897327863574,0.9768868627044093,"[[180  34]
 [-79  19]]","[[-180  155]
 [ -21  -58]
 [  29   55]]","[[ -21  -58]
 [  29   55]
 [ 142   81]
 [ -90 -148]
 [  37  -90]
 [  14  170]
 [   3 -110]
 [   5  110]
 [ -24   37]]",0.3,"frozenset({-79, 34, 19, 180})"
55,1,4,2,12,0.3,0.5,0.0,0.4569557727984567,0.8194362903402925,1.8773659383944645,[[-175 -136]],"[[ 77 -13]
 [ 66  23]
 [-93  -7]
 [134   2]]","[[134   2]
 [-81  30]]",0.0,"frozenset({-136, -175})"
56,2,8,10,12,0.3,0.5,0.5129993430171244,0.8661682803591639,0.7855377750098117,0.9653045714990454,"[[178 176]
 [117  74]]","[[ -43 -175]
 [ 170 -132]
 [ -79 -148]
 [  71   49]
 [ 160  -60]
 [ -87    3]
 [ -23   16]
 [  53  153]]","[[ -23   16]
 [  53  153]
 [-178 -158]
 [ -27 -125]
 [-124  200]
 [ -23  175]
 [-100   15]
 [-157   45]
 [  -9  128]
 [  45 -116]]",0.0,"frozenset({176, 178, 74, 117})"
57,2,3,3,12,0.3,0.5,0.5745691811983268,1.0351776204316276,0.5436650218023655,0.899493431316387,"[[-130   -6]
 [ -99  126]]","[[-166  -55]
 [ 185  -34]
 [  72 -111]]","[[ 185  -34]
 [  72 -111]
 [  81   48]]",0.7,"frozenset({-6, 126, -99, -130})"
58,7,2,5,12,0.3,0.5,0.9005515439383727,1.6678922371927014,1.1755905282046772,0.8947950804098062,"[[  62  -54]
 [-200  105]
 [ -89  147]
 [-119    8]
 [ -44  147]
 [  87  100]
 [  92 -135]]","[[ 182   48]
 [-192  -25]]","[[ -89  147]
 [-119    8]
 [ -44  147]
 [  87  100]
 [  92 -135]]",0.8,"frozenset({100, -89, 8, 105, -54, -119, 147, -44, 87, -200, -135, 92, 62})"
59,5,7,4,12,0.3,0.5,1.2127787345708518,1.0239799492251358,0.706996232797681,0.8839468107960322,"[[ 183   55]
 [ -59  -79]
 [ -31 -129]
 [  73  102]
 [ -94  162]]","[[  88  113]
 [-136  120]
 [-143 -101]
 [  76 -120]
 [  37  -85]
 [ -11  -35]
 [  95   23]]","[[-143 -101]
 [  76 -120]
 [  37  -85]
 [ -11  -35]]",1.0,"frozenset({-31, -94, 162, -59, 102, 73, -79, 55, 183, -129})"
60,3,10,9,12,0.3,0.5,1.2799268469445564,0.8937330825355564,0.902091414073158,1.1008449845277444,"[[-125  185]
 [  33  166]
 [ -52 -161]]","[[ -58  -32]
 [ -41   97]
 [-143 -139]
 [ 169   35]
 [  52  -99]
 [-149  118]
 [ 129  -13]
 [ 182  137]
 [ -88   17]
 [  15  -12]]","[[ 182  137]
 [ -88   17]
 [  15  -12]
 [ 130 -111]
 [ -18 -142]
 [ 105  109]
 [-168  -80]
 [-166  -68]
 [  61   64]]",0.8,"frozenset({33, -125, 166, 185, -52, -161})"
61,1,3,2,12,0.3,0.5,0.0,0.5123173663482655,1.2387795536067612,1.7976232007464634,[[191  27]],"[[145  61]
 [ 81  53]
 [116  61]]","[[116  61]
 [ 30 -91]]",0.0,"frozenset({27, 191})"
62,3,7,9,12,0.3,0.5,0.9986945732558993,1.1384266807540766,1.046257619205801,1.0053774884811923,"[[  60  166]
 [ 168 -145]
 [   7  -48]]","[[-144  195]
 [ 150  -73]
 [ -88  181]
 [ 140 -194]
 [ -82 -194]
 [ -94  169]
 [ -11 -191]]","[[ -82 -194]
 [ -94  169]
 [ -11 -191]
 [-102 -112]
 [-118 -121]
 [  20  -42]
 [-157  159]
 [ 155   48]
 [ 108  194]]",0.9,"frozenset({-48, 166, 7, 168, 60, -145})"
63,4,2,4,12,0.3,0.5,1.3241285647306096,0.706248488499168,1.2831931813814432,1.5123830526284086,"[[ 181  -19]
 [ 138 -180]
 [ 148   13]
 [ -92  -46]]","[[ 136 -195]
 [ 157  -91]]","[[ 148   13]
 [ -92  -46]
 [ 136 -195]
 [ 157  -91]]",0.4,"frozenset({-92, 138, -180, -19, 13, -46, 148, 181})"
64,8,4,10,12,0.3,0.5,1.1647004522658855,0.8586086039787023,1.0250971314945767,1.2689874670961716,"[[ -43  188]
 [ 138   80]
 [-181  -16]
 [  53  100]
 [  80  -96]
 [ 195   75]
 [ 176  167]
 [  36  -24]]","[[  -4 -120]
 [  95   33]
 [  33  -86]
 [  12  110]]","[[  80  -96]
 [ 195   75]
 [ 176  167]
 [  36  -24]
 [  -4 -120]
 [  95   33]
 [  33  -86]
 [  12  110]
 [ -48  141]
 [-133 -112]]",1.0,"frozenset({-96, 195, 100, 36, 167, -24, 138, -181, 75, 80, -16, 176, -43, 53, 188})"
65,2,10,9,12,0.3,0.5,0.988203556798273,1.1328406289146713,1.3334778282704012,1.0704193302541358,"[[-142  113]
 [  40   37]]","[[  23 -175]
 [ 146   86]
 [  52 -112]
 [ 160 -114]
 [ -67   81]
 [-196  -57]
 [  31 -147]
 [ -80   41]
 [ 169  116]
 [-131  134]]","[[ 169  116]
 [-131  134]
 [  41 -184]
 [-119  -70]
 [ 178  -91]
 [-143  109]
 [  21   45]
 [-163   16]
 [-166  155]]",0.9,"frozenset({40, 113, -142, 37})"
66,6,9,9,12,0.3,0.5,0.9625919284326852,1.1886484384477372,1.2103700519148364,1.1203956598796414,"[[ 134  -36]
 [ 148  -11]
 [  87   54]
 [-118  -64]
 [  37   84]
 [ -49  148]]","[[-101 -130]
 [ 127 -132]
 [  58  136]
 [  80  -53]
 [ 188  111]
 [ 141  137]
 [-112 -118]
 [  49   90]
 [ -66   99]]","[[  80  -53]
 [ 188  111]
 [ 141  137]
 [-112 -118]
 [  49   90]
 [ -66   99]
 [ 144   49]
 [-192 -156]
 [ -83  110]]",1.0,"frozenset({-64, 37, 134, -118, -49, 148, -11, 54, 87, 84, -36})"
67,4,7,6,12,0.3,0.5,0.8854999759395871,1.2130422743918836,1.1191212803176793,1.0681488985448597,"[[ -49 -122]
 [  39  -87]
 [ 176  116]
 [ 151  -81]]","[[-144  -71]
 [ 162 -179]
 [ 171  -54]
 [  13  196]
 [-197  104]
 [  97 -117]
 [  40  167]]","[[  13  196]
 [-197  104]
 [  97 -117]
 [  40  167]
 [ 185  -63]
 [ 173  107]]",1.0,"frozenset({-122, 39, -87, -49, 176, -81, 116, 151})"
68,6,5,6,12,0.3,0.5,0.6775977310809527,1.3172028983835242,1.2754227410248897,1.1490015581957997,"[[-150   69]
 [  19 -131]
 [ -98   65]
 [ -96   74]
 [-130   38]
 [ -20   -8]]","[[ -21  166]
 [-197  -72]
 [-148 -107]
 [ -39  118]
 [ 151  -10]]","[[ -20   -8]
 [ -21  166]
 [-197  -72]
 [-148 -107]
 [ -39  118]
 [ 151  -10]]",1.0,"frozenset({-96, 65, 69, 38, -150, 74, -20, -130, 19, -8, -131, -98})"
