,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability
5167,8,6,12,0.1,0.3,1.0834887594208489,1.0441538841734956,"[[  66  -20]
 [ 169 -166]
 [-120  106]
 [-136 -147]
 [ -87  -36]
 [  71 -157]
 [ -55   60]
 [-161   29]]","[[ -22   39]
 [  77 -153]
 [ -77   18]
 [-119  -64]
 [-101  152]
 [  38  197]]",0.6
5238,5,6,12,0.1,0.3,1.0845491229560134,1.135828586413107,"[[ 100 -144]
 [ 120  198]
 [-111   31]
 [ -85 -147]
 [ -86  -24]]","[[ 136 -168]
 [ 135 -121]
 [-193   45]
 [-103   42]
 [ 109 -145]
 [  86  178]]",0.7
5243,5,6,12,0.1,0.3,1.0845491229560134,1.135828586413107,"[[ 100 -144]
 [ 120  198]
 [-111   31]
 [ -85 -147]
 [ -86  -24]]","[[ 136 -168]
 [ 135 -121]
 [-193   45]
 [-103   42]
 [ 109 -145]
 [  86  178]]",0.7
5290,4,9,12,0.1,0.3,0.9873548931236982,0.8739761201707715,"[[ 165  120]
 [  22 -177]
 [ 107 -113]
 [  72  -14]]","[[  73  -36]
 [ -12   49]
 [-142   82]
 [  36  -79]
 [ -48   58]
 [-118   52]
 [ -83  121]
 [  87 -119]
 [ 163  -57]]",0.6
5291,4,9,12,0.1,0.3,0.9873548931236982,0.8739761201707715,"[[ 165  120]
 [  22 -177]
 [ 107 -113]
 [  72  -14]]","[[  73  -36]
 [ -12   49]
 [-142   82]
 [  36  -79]
 [ -48   58]
 [-118   52]
 [ -83  121]
 [  87 -119]
 [ 163  -57]]",0.6
5402,4,1,12,0.1,0.3,1.017332553783708,0.0,"[[ 155   85]
 [  27 -198]
 [ -53 -137]
 [-158  158]]",[[ 196 -160]],0.5
5403,4,1,12,0.1,0.3,1.017332553783708,0.0,"[[ 155   85]
 [  27 -198]
 [ -53 -137]
 [-158  158]]",[[ 196 -160]],0.5
5536,4,9,12,0.1,0.3,0.9054104468764927,0.8298258675975223,"[[-187 -200]
 [-189 -191]
 [-143  -56]
 [  93   38]]","[[ -17 -179]
 [ 190   41]
 [  93 -150]
 [ -52  -74]
 [  91  -13]
 [ -99   62]
 [ 124  -89]
 [-151  -18]
 [ 153   67]]",0.4
5537,4,9,12,0.1,0.3,0.9054104468764927,0.8298258675975223,"[[-187 -200]
 [-189 -191]
 [-143  -56]
 [  93   38]]","[[ -17 -179]
 [ 190   41]
 [  93 -150]
 [ -52  -74]
 [  91  -13]
 [ -99   62]
 [ 124  -89]
 [-151  -18]
 [ 153   67]]",0.4
5608,6,3,12,0.1,0.3,1.0856060810310824,1.24652058911562,"[[-137   38]
 [  17   91]
 [ -74 -113]
 [-180  111]
 [-108  178]
 [-192  -78]]","[[-150 -140]
 [  -3   39]
 [ -59  134]]",0.4
5613,6,3,12,0.1,0.3,1.0856060810310824,1.24652058911562,"[[-137   38]
 [  17   91]
 [ -74 -113]
 [-180  111]
 [-108  178]
 [-192  -78]]","[[-150 -140]
 [  -3   39]
 [ -59  134]]",0.4
5666,9,3,12,0.1,0.3,0.9340004337764692,1.3330103882202216,"[[  52  148]
 [  48 -148]
 [  70  -68]
 [  26  163]
 [   9  -41]
 [ 162  -72]
 [  38    9]
 [-175   52]
 [  24 -154]]","[[  44  -16]
 [-173 -197]
 [ 155   24]]",0.2
5671,9,3,12,0.1,0.3,0.9340004337764692,1.3330103882202216,"[[  52  148]
 [  48 -148]
 [  70  -68]
 [  26  163]
 [   9  -41]
 [ 162  -72]
 [  38    9]
 [-175   52]
 [  24 -154]]","[[  44  -16]
 [-173 -197]
 [ 155   24]]",0.2
5745,7,1,12,0.1,0.3,1.1322247980294895,0.0,"[[ 144 -148]
 [-113  -39]
 [ 109  168]
 [-200 -168]
 [-109  116]
 [ 166 -197]
 [ 127  -62]]",[[-142   47]],0.2
5750,7,1,12,0.1,0.3,1.1322247980294895,0.0,"[[ 144 -148]
 [-113  -39]
 [ 109  168]
 [-200 -168]
 [-109  116]
 [ 166 -197]
 [ 127  -62]]",[[-142   47]],0.2
5813,1,4,12,0.1,0.3,0.0,0.9116057517665944,[[-170  127]],"[[ 100  146]
 [  44  153]
 [ 171  -14]
 [-168  -14]]",0.4
5818,1,4,12,0.1,0.3,0.0,0.9116057517665944,[[-170  127]],"[[ 100  146]
 [  44  153]
 [ 171  -14]
 [-168  -14]]",0.4
5903,3,3,12,0.1,0.3,1.440471251005588,0.5079662330290821,"[[-153   34]
 [ 192  -18]
 [-196  104]]","[[-124  -64]
 [ -85 -110]
 [-138   25]]",0.3
5908,3,3,12,0.1,0.3,1.440471251005588,0.5079662330290821,"[[-153   34]
 [ 192  -18]
 [-196  104]]","[[-124  -64]
 [ -85 -110]
 [-138   25]]",0.3
5981,1,2,12,0.1,0.3,0.0,1.4105414475653364,[[113  86]],"[[-187  138]
 [  69 -107]]",0.5
