,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,s1
41,8,7,46,0.1,0.3,1.1791370980723699,0.9327808256297991,"[[ -93  195]
 [   2  123]
 [ -92  182]
 [ 151  -49]
 [ -94 -179]
 [ 200  -31]
 [  19 -105]
 [ -21 -157]]","[[ -45   41]
 [  96  106]
 [ 133  -69]
 [   8    2]
 [ -85   67]
 [  96  192]
 [ -20 -177]]",0.3,"frozenset({2, 195, 200, -179, -49, 19, -105, 151, -31, -94, -93, -92, -157, -21, 182, 123})"
42,10,4,46,0.1,0.3,1.179184209233258,1.0371529721550399,"[[-140  119]
 [ 183  -13]
 [ -14  -20]
 [  66  -25]
 [ 186  135]
 [  53  103]
 [ 164  180]
 [  64  146]
 [ -69  158]
 [-183  -20]]","[[-66 198]
 [179 145]
 [-53  78]
 [ 94  73]]",0.0,"frozenset({64, 66, 135, -183, 146, 119, 158, 164, -25, 103, -20, -14, -13, 180, 53, -140, 183, 186, -69})"
43,7,6,46,0.1,0.3,1.1859731851655109,0.949845272377468,"[[ 137   18]
 [-185   69]
 [  38  -58]
 [ -81  169]
 [-122 -103]
 [ -59 -171]
 [ 127   -5]]","[[   3 -121]
 [  38 -150]
 [ -90  136]
 [ -75   57]
 [   6  -56]
 [ 139 -111]]",0.0,"frozenset({69, 38, -185, -58, 137, 169, -122, -59, -81, 18, -171, -103, -5, 127})"
44,3,6,46,0.1,0.3,0.6214270405086526,1.1559283140348193,"[[-67 136]
 [134  68]
 [118  76]]","[[ 162 -198]
 [-182   76]
 [  11  151]
 [-108   89]
 [-132  195]
 [ -11 -165]]",0.3,"frozenset({68, 134, 118, 136, 76, -67})"
45,4,9,46,0.1,0.3,1.0727052168255635,1.0237949365948187,"[[ -67  159]
 [ 130 -171]
 [ 186  -51]
 [  60  -47]]","[[-196   -6]
 [  75  -97]
 [  70  -44]
 [-106 -126]
 [ -51 -183]
 [  58  126]
 [ 192   31]
 [-195   16]
 [ 107  -84]]",0.9,"frozenset({130, -51, -47, -171, 186, 60, -67, 159})"
46,7,4,46,0.1,0.3,1.0523694868477547,0.9457279631511538,"[[  85 -119]
 [  50  187]
 [-136  -62]
 [  53  136]
 [ -74  -80]
 [  58  150]
 [ 158  114]]","[[  -4  -19]
 [-186  147]
 [ -22   75]
 [  39  -90]]",0.0,"frozenset({-62, 136, -119, -80, 50, 114, 85, 53, -74, -136, 150, 58, 187, 158})"
47,9,1,46,0.1,0.3,1.240078480411194,0.0,"[[-186  -48]
 [-177  172]
 [ 179   83]
 [ -76 -121]
 [ 158 -154]
 [  26   29]
 [  22   72]
 [ 101  -77]
 [ 146   72]]",[[-16 107]],0.0,"frozenset({-186, -121, 72, -177, -48, 146, 83, 22, 26, 29, 158, 101, -154, 172, 179, -76, -77})"
48,1,3,46,0.1,0.3,0.0,1.0856348740855792,[[-61  -7]],"[[  68 -195]
 [ 162 -102]
 [-171 -156]]",0.0,"frozenset({-7, -61})"
49,10,3,46,0.1,0.3,1.2666990636852853,0.9067332230203184,"[[  49 -182]
 [  24   -8]
 [-137  171]
 [  16  -94]
 [ -51  179]
 [-122 -169]
 [ 165 -139]
 [-146  179]
 [-181  -65]
 [ 135  131]]","[[ 52 156]
 [-50 -78]
 [ 13 -65]]",0.0,"frozenset({131, -122, 135, -182, -181, -51, 16, -169, 24, -94, 165, 171, -146, 49, 179, -139, -137, -8, -65})"
50,3,6,46,0.1,0.3,1.3043718852481863,0.9801779204677765,"[[-111   25]
 [ 119 -196]
 [ -64  175]]","[[ 150  -67]
 [ -44 -197]
 [  74  -42]
 [-107  -83]
 [  89   -7]
 [-154  185]]",0.0,"frozenset({-64, -111, 119, 25, -196, 175})"
51,8,2,46,0.1,0.3,1.2138387443541874,0.9781454651713403,"[[ 186 -156]
 [ 170   30]
 [  81 -136]
 [-124  -70]
 [-178  158]
 [  26  130]
 [ 123  168]
 [ 194    7]]","[[-21   8]
 [ 77 186]]",0.0,"frozenset({130, 194, -124, 7, -178, 81, 26, 158, 30, -156, 168, 186, 170, -136, -70, 123})"
52,3,5,46,0.1,0.3,0.2512984490868685,0.7375633236338317,"[[-170 -169]
 [ -78 -161]
 [-150 -186]]","[[-170  -64]
 [ 108  -64]
 [ -44   75]
 [ 116  -20]
 [ 105   84]]",0.0,"frozenset({-78, -186, -170, -150, -169, -161})"
53,5,10,46,0.1,0.3,0.8246484892015195,0.906247168416329,"[[  26  117]
 [ 191    5]
 [  71  187]
 [ 147   57]
 [ -70 -144]]","[[ -63   -7]
 [ -55 -149]
 [ -56 -190]
 [-157  -64]
 [ 176  136]
 [-182  -62]
 [ -47  176]
 [-185 -113]
 [ -77  168]
 [-154  196]]",1.0,"frozenset({-70, 5, 71, -144, 147, 117, 57, 26, 187, 191})"
54,1,7,46,0.1,0.3,0.0,1.246584986840856,[[67  9]],"[[ -59 -182]
 [-185   36]
 [ 148 -142]
 [ 109  118]
 [ -22  -75]
 [ -96  122]
 [-112   25]]",0.0,"frozenset({9, 67})"
55,5,8,46,0.1,0.3,1.0107049884584507,1.100528324664492,"[[  70   15]
 [ 133   58]
 [-145   97]
 [ 112  135]
 [-131  -69]]","[[ 106  161]
 [  69 -112]
 [ 193 -140]
 [ 120 -140]
 [  35  104]
 [  18  196]
 [-126   89]
 [ -24  -77]]",0.1,"frozenset({97, 133, 70, 135, -145, 15, 112, 58, -69, -131})"
56,9,4,46,0.1,0.3,0.7961467698722282,0.8501570432776567,"[[ 166  -86]
 [-107  -86]
 [ 108 -182]
 [ -62   89]
 [ -90  -29]
 [-135   14]
 [-193  -81]
 [ -78  -62]
 [-150 -132]]","[[ 154   -4]
 [  80  -27]
 [ 154  146]
 [-101   18]]",0.0,"frozenset({-62, -182, 14, -107, 89, -29, 166, -90, -86, -150, 108, -81, -78, -135, -132, -193})"
57,2,9,46,0.1,0.3,1.2211599804644808,1.0420775121426167,"[[ 88 192]
 [101 -31]]","[[ 185  188]
 [ 128   86]
 [-159   63]
 [  88  161]
 [ 104   64]
 [ -90  124]
 [ -97  100]
 [ -85  -88]
 [  -1   -4]]",0.0,"frozenset({88, -31, 101, 192})"
