,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,New_Stability,Replating
48,4,4,46,0.1,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
49,6,2,12,0.1,0.6,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
50,4,4,24,0.3,0.5,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,0.9,0.9
51,4,4,36,0.3,0.5,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,0.9,0.9
52,4,4,46,0.3,0.5,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,0.9,0.9
53,4,4,12,0.3,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
54,4,4,12,0.6,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
55,4,4,24,0.3,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
56,4,4,36,0.3,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
57,4,4,46,0.3,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
