,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,Replating,New_Stability
59,3,10,3,36,0.3,0.5,1.1298453375237898,0.8393381495432282,0.6660837073857545,0.727698888664281,"[[-179  -64]
 [ 192  -60]
 [ -84 -130]]","[[ 177  154]
 [  41  138]
 [  14   24]
 [-160  108]
 [ 131   43]
 [ -46   26]
 [-159   17]
 [  97  -95]
 [ -33  -29]
 [ 138  -82]]","[[ 97 -95]
 [-33 -29]
 [138 -82]]",0.1,0.9,0.3
60,10,6,7,36,0.3,0.5,1.0564187638292253,0.8832800416712949,0.9811412154039875,1.155116150419843,"[[ 169  -22]
 [  59 -121]
 [ -64  -67]
 [-142 -117]
 [   1 -200]
 [ -61   42]
 [ -94   16]
 [  30 -149]
 [  -5 -191]
 [ 193  -14]]","[[  94  -44]
 [ 112 -119]
 [ 164  -83]
 [ -97  -50]
 [   4   25]
 [ 172 -128]]","[[ -94   16]
 [  30 -149]
 [  -5 -191]
 [ 193  -14]
 [  94  -44]
 [ 112 -119]
 [ 164  -83]]",1.0,0.9,1.0
61,10,3,2,36,0.3,0.5,0.7420994478514579,0.807061940223884,0.1719633168967276,0.09921970574875465,"[[-164   13]
 [ -15  -53]
 [  16  -94]
 [  34  -98]
 [  40 -118]
 [  84   75]
 [-103 -172]
 [  45  -94]
 [-137 -159]
 [-110  169]]","[[ 96 188]
 [ 51 105]
 [148 -76]]","[[  34  -98]
 [  40 -118]]",1.0,0.9,0.0
62,4,1,7,36,0.3,0.5,0.4362884311275311,0.0,1.189893641490455,1.2139464359905199,"[[181 181]
 [175 132]
 [ 39 174]
 [  0 145]]",[[-52 -72]],"[[ 175  132]
 [  39  174]
 [   0  145]
 [ -52  -72]
 [ 138  -88]
 [ -81  169]
 [ -10 -192]]",0.2,0.9,1.0
63,5,5,9,36,0.3,0.5,0.8791526288141562,0.8717294661611923,0.8922678958736062,1.1578874357841504,"[[  94   66]
 [-114   44]
 [ 179 -110]
 [ -44   42]
 [ 170  152]]","[[ -71 -182]
 [ -45 -154]
 [-152  120]
 [ 115 -125]
 [ 118 -145]]","[[ -71 -182]
 [ -45 -154]
 [-152  120]
 [ 115 -125]
 [ 118 -145]
 [ 165 -154]
 [ 144  -76]
 [ -95   12]
 [-183 -148]]",1.0,0.9,1.0
64,8,8,4,36,0.3,0.5,1.1530255638315279,0.9912658102466657,0.9282945702305956,1.1028929063342512,"[[  -8 -199]
 [ 153   96]
 [ 146 -119]
 [-132 -164]
 [-107  172]
 [ -25  -11]
 [  11 -160]
 [  -7   -3]]","[[  62  -13]
 [-178  -78]
 [  48  -68]
 [ -88 -149]
 [  13 -180]
 [-125  -11]
 [ -65 -188]
 [ 196   40]]","[[  62  -13]
 [-178  -78]
 [  48  -68]
 [ -88 -149]]",1.0,0.9,1.0
65,9,3,10,36,0.3,0.5,1.0155677222671606,0.9154898560201272,1.0904920140949974,1.168412282255713,"[[ -27  169]
 [ 117   29]
 [ -55  155]
 [  83  -76]
 [-123  126]
 [ 123  157]
 [ -47  112]
 [ 170  131]
 [ -35 -183]]","[[ -84  -42]
 [ -78   66]
 [  96 -113]]","[[  83  -76]
 [-123  126]
 [ 123  157]
 [ -47  112]
 [ 170  131]
 [ -35 -183]
 [ -84  -42]
 [ -78   66]
 [  96 -113]
 [ 129   96]]",1.0,0.9,1.0
66,5,1,1,36,0.3,0.5,0.9881576292855305,0.0,0.0,0.0,"[[ 185  181]
 [  72 -165]
 [ 151   65]
 [ 127  -53]
 [-150  -85]]",[[-118   31]],[[  72 -165]],0.1,0.9,0.0
67,9,2,6,36,0.3,0.5,0.7619087102463321,1.4675435537594224,1.1516779695660813,0.7721843661011947,"[[-141  -52]
 [ 198 -120]
 [ -16 -197]
 [  25  -29]
 [ 169   82]
 [ 159  -93]
 [-102  -43]
 [  75  -55]
 [  27  -18]]","[[ -32 -146]
 [-100  198]]","[[ -16 -197]
 [  25  -29]
 [ 169   82]
 [ 159  -93]
 [-102  -43]
 [  75  -55]]",1.0,0.9,0.0
68,6,8,6,36,0.3,0.5,0.7604010102904961,1.0948655301050452,1.0478619196580243,1.128636290483361,"[[ 85 -10]
 [122 -11]
 [ 95 153]
 [138 -80]
 [-33 -34]
 [153 131]]","[[  14  -38]
 [ -15 -146]
 [-174   98]
 [  15  187]
 [  26   62]
 [ 168 -160]
 [  37  103]
 [-142  140]]","[[-174   98]
 [  15  187]
 [  26   62]
 [ 168 -160]
 [  37  103]
 [-142  140]]",1.0,0.9,0.6
