,Num_Cells_Strain1,Num_Cells_Strain2,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Replating,New_Stability
38,8,4,46,0.1,0.3,1.383196192032317,0.6952112631596025,"[[ -38   54]
 [ 100  176]
 [  96   90]
 [ 196 -172]
 [ -25  -69]
 [-177 -195]
 [  64   46]
 [ 165   77]]","[[  -6   79]
 [  38   70]
 [  44 -105]
 [  43  -11]]",0.0,0.9,0.0
39,6,2,46,0.1,0.3,1.0025834963904139,0.17574677713716183,"[[ -75 -127]
 [  -7 -143]
 [  18  -93]
 [ 192  128]
 [  66  -68]
 [-140  165]]","[[130 118]
 [129  79]]",0.0,0.9,0.0
40,9,9,46,0.1,0.3,1.1721532978946747,0.9466601301833523,"[[ 130   12]
 [ -67 -177]
 [-189 -157]
 [ -94 -107]
 [-147  181]
 [ 140   11]
 [-164   96]
 [  72  -83]
 [  36  123]]","[[ -43 -141]
 [  24  114]
 [ 104  132]
 [ -89  -98]
 [-171  -39]
 [ 100  -22]
 [  17 -192]
 [  64  -21]
 [ 102   84]]",0.1,0.9,0.0
41,8,7,46,0.1,0.3,1.1791370980723699,0.9327808256297991,"[[ -93  195]
 [   2  123]
 [ -92  182]
 [ 151  -49]
 [ -94 -179]
 [ 200  -31]
 [  19 -105]
 [ -21 -157]]","[[ -45   41]
 [  96  106]
 [ 133  -69]
 [   8    2]
 [ -85   67]
 [  96  192]
 [ -20 -177]]",0.3,0.9,0.2
42,10,4,46,0.1,0.3,1.179184209233258,1.0371529721550399,"[[-140  119]
 [ 183  -13]
 [ -14  -20]
 [  66  -25]
 [ 186  135]
 [  53  103]
 [ 164  180]
 [  64  146]
 [ -69  158]
 [-183  -20]]","[[-66 198]
 [179 145]
 [-53  78]
 [ 94  73]]",0.0,0.9,0.0
43,7,6,46,0.1,0.3,1.1859731851655109,0.949845272377468,"[[ 137   18]
 [-185   69]
 [  38  -58]
 [ -81  169]
 [-122 -103]
 [ -59 -171]
 [ 127   -5]]","[[   3 -121]
 [  38 -150]
 [ -90  136]
 [ -75   57]
 [   6  -56]
 [ 139 -111]]",0.0,0.9,0.0
44,3,6,46,0.1,0.3,0.6214270405086526,1.1559283140348193,"[[-67 136]
 [134  68]
 [118  76]]","[[ 162 -198]
 [-182   76]
 [  11  151]
 [-108   89]
 [-132  195]
 [ -11 -165]]",0.3,0.9,0.0
45,4,9,46,0.1,0.3,1.0727052168255635,1.0237949365948187,"[[ -67  159]
 [ 130 -171]
 [ 186  -51]
 [  60  -47]]","[[-196   -6]
 [  75  -97]
 [  70  -44]
 [-106 -126]
 [ -51 -183]
 [  58  126]
 [ 192   31]
 [-195   16]
 [ 107  -84]]",0.9,0.9,1.0
46,7,4,46,0.1,0.3,1.0523694868477547,0.9457279631511538,"[[  85 -119]
 [  50  187]
 [-136  -62]
 [  53  136]
 [ -74  -80]
 [  58  150]
 [ 158  114]]","[[  -4  -19]
 [-186  147]
 [ -22   75]
 [  39  -90]]",0.0,0.9,0.0
47,9,1,46,0.1,0.3,1.240078480411194,0.0,"[[-186  -48]
 [-177  172]
 [ 179   83]
 [ -76 -121]
 [ 158 -154]
 [  26   29]
 [  22   72]
 [ 101  -77]
 [ 146   72]]",[[-16 107]],0.0,0.9,0.0
