,Epochs,Learning_Rate,Batch_Size,Neurons,Dropout,Activation,Initializer,Regularizer,Normalization,Acc_train,Acc_val,Acc_test,f1,Precision,Recall,Optimizer
1258,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,zeros,l2,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1259,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,zeros,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1260,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,zeros,l2,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1261,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,zeros,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1262,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,zeros,l2,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1263,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,zeros,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1264,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,zeros,None,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1265,3000,0.0001,512,"[100, 75, 50, 25]",0.25,relu,random_uniform,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1266,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,zeros,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1267,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,zeros,None,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1268,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,zeros,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1269,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,zeros,None,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1270,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,zeros,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1271,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_uniform,l1,1,0.6929591059684753,0.6003868460655213,0.6038684606552124,0.773672342300415,0.662554144859314,0.939400553703308,adam
1272,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_uniform,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1273,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_uniform,l1,1,0.6556496620178223,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1274,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_uniform,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1275,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_uniform,l1,1,0.6556496620178223,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1276,3000,0.0001,512,"[100, 75, 50, 25]",0.25,elu,random_uniform,None,1,0.6496975421905518,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1277,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_uniform,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1278,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_uniform,l2,1,0.7046213507652282,0.5833655834197998,0.5845261216163635,0.7622426152229309,0.6615089178085327,0.9097495079040528,adam
1279,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1280,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_uniform,l2,1,0.6560851693153381,0.6553191423416138,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1281,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1282,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_uniform,l2,1,0.655698037147522,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1283,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1284,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_uniform,None,1,0.703847074508667,0.6,0.5837524175643921,0.7660463452339172,0.6612895727157593,0.9243972897529602,adam
1285,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_uniform,None,0,0.658698296546936,0.6452611207962036,0.6499032855033875,0.7940651178359985,0.6628676652908325,1.0,adam
1286,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_uniform,None,1,0.6564723014831543,0.6495164394378662,0.6533849120140076,0.7925888299942017,0.6620967388153076,0.9969040155410768,adam
1287,3000,0.0001,512,"[100, 75, 50, 25]",0.25,relu,he_uniform,l2,1,0.6609242677688598,0.6549322962760925,0.6441005825996399,0.7789211273193359,0.6593849062919617,0.9652713537216188,adam
1288,3000,0.0001,512,"[100, 75, 50, 25]",0.25,elu,random_uniform,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1289,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_uniform,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1290,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_uniform,None,1,0.6608274698257446,0.6456479668617249,0.6452611327171326,0.7940651178359985,0.6628676652908325,1.0,adam
1291,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_uniform,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1292,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_normal,l1,1,0.6944592356681824,0.5988394618034363,0.5903288125991821,0.7509427070617676,0.6564076542854309,0.8923307061195374,adam
1293,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_normal,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1294,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_normal,l1,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1295,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_normal,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1296,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_normal,l1,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1297,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_normal,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1298,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_normal,l2,1,0.7036051392555237,0.5914893507957458,0.5926499128341675,0.7659652233123779,0.6597398519515991,0.927579939365387,adam
1299,3000,0.0001,512,"[100, 75, 50, 25]",0.25,tanh,random_uniform,None,1,0.6444229364395142,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1300,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_normal,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1301,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_normal,l2,1,0.655020558834076,0.6549322962760925,0.65415860414505,0.7940651178359985,0.6628676652908325,1.0,adam
1302,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_normal,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1303,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_normal,l2,1,0.6543430805206298,0.6560928344726562,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1304,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_normal,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1305,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_normal,None,1,0.6879748344421387,0.6073500871658325,0.6034816145896912,0.7685188055038452,0.6560772061347961,0.9412245154380798,adam
1306,3000,0.0005,512,"[100, 75, 50, 25]",0.1,relu,random_normal,None,0,0.6711831569671631,0.6189555048942565,0.621276593208313,0.7940651178359985,0.6628676652908325,1.0,adam
1307,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_normal,None,1,0.6553109169006348,0.6518375277519226,0.6560928344726562,0.7940651178359985,0.6628676652908325,1.0,adam
1308,3000,0.0005,512,"[100, 75, 50, 25]",0.1,elu,random_normal,None,0,0.6558916211128235,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1309,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_normal,None,1,0.6604403614997864,0.6433268785476685,0.6464216589927674,0.7940651178359985,0.6628676652908325,1.0,adam
1310,3000,0.0001,512,"[100, 75, 50, 25]",0.25,tanh,random_uniform,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1311,3000,0.0005,512,"[100, 75, 50, 25]",0.1,tanh,random_normal,None,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1312,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,relu,he_uniform,l1,1,0.6569078087806701,0.6549322962760925,0.6549322962760925,0.794952392578125,0.6640536189079285,1.0,adam
1313,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,relu,he_uniform,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1314,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,elu,he_uniform,l1,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1315,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,elu,he_uniform,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1316,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,tanh,he_uniform,l1,1,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1317,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,tanh,he_uniform,l1,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
1318,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,relu,he_uniform,l2,1,0.6620372653007507,0.6499032855033875,0.6386847376823426,0.7782771587371826,0.6571987271308899,0.9674274325370787,adam
1319,3000,0.0005,1024,"[100, 75, 50, 25]",0.25,relu,he_uniform,l2,0,0.6556980609893799,0.655705988407135,0.655705988407135,0.7940651178359985,0.6628676652908325,1.0,adam
