,Epochs,Learning_Rate,Batch_Size,Neurons,Dropout,Activation,Initializer,Regularizer,Normalization,Acc_train,Acc_val,Acc_test,f1,Precision,Recall,Optimizer
6229,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,l2,1,0.6758286833763123,0.6746615052223206,0.676982581615448,0.906972885131836,0.8897271156311035,0.9257193803787231,adam
6230,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,l2,1,0.6757803082466125,0.6704061985015869,0.6742746591567993,0.8984856009483337,0.8761826753616333,0.9236245155334472,rms_prop
6231,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,l2,1,0.6549237847328186,0.6475821971893311,0.6529980659484863,0.7975422739982605,0.8858321905136108,0.7317137718200684,sgd
6232,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,l2,1,0.6761674284934998,0.6700193524360657,0.6727272748947144,0.8837178349494934,0.8768913149833679,0.8926170468330383,sgd_momentum
6233,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,l2,1,0.6763609886169434,0.6669245839118958,0.675435197353363,0.907611072063446,0.8998355865478516,0.9165288805961608,sgd_nesterov
6234,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,l2,0,0.6752479910850525,0.6750483512878418,0.676982581615448,0.8912109732627869,0.8655842542648315,0.91950660943985,adam
6235,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,l2,0,0.6750544309616089,0.6742746591567993,0.6758220434188843,0.9046141505241394,0.8793234825134277,0.9322050213813782,rms_prop
6236,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,l2,0,0.6720542073249817,0.6742746591567993,0.6715667366981506,0.8800292015075684,0.8529810309410095,0.9097499251365662,sgd
6237,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,l2,0,0.674909257888794,0.6750483512878418,0.676982581615448,0.8924399018287659,0.8703107833862305,0.9166216850280762,sgd_momentum
6238,3000,0.0001,512,"[125, 100, 75, 50, 25]",0.25,relu,he_uniform,l2,0,0.6738930463790893,0.6750483512878418,0.676982581615448,0.8950285315513611,0.8730263113975525,0.9194228053092957,rms_prop
6239,3000,0.0001,512,"[125, 100, 75, 50, 25]",0.1,relu,he_normal,l2,0,0.6657149791717529,0.6711798906326294,0.6665377378463745,0.8962007761001587,0.9021798372268676,0.8920094966888428,sgd_nesterov
6240,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,l2,0,0.6748608827590943,0.6750483512878418,0.676982581615448,0.898822009563446,0.880693793296814,0.918364644050598,sgd_nesterov
6241,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,None,1,0.6762158274650574,0.6715667366981506,0.6762088894844055,0.8971490859985352,0.882504940032959,0.9135811924934388,adam
6242,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,None,1,0.6762158036231994,0.6700193524360657,0.6723404288291931,0.8950142860412598,0.8793158531188965,0.912563681602478,rms_prop
6243,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,None,1,0.6733607649803162,0.6746615052223206,0.6727272748947144,0.8848443627357483,0.8675837516784668,0.9036408066749572,sgd
6244,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,None,1,0.6757802844047547,0.6746615052223206,0.6750483512878418,0.8807386755943298,0.8572133779525757,0.9066130518913268,sgd_momentum
6245,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,None,1,0.6755383372306824,0.6711798906326294,0.6735009670257568,0.8872394561767578,0.8704416155815125,0.905644714832306,sgd_nesterov
6246,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,None,0,0.6762158274650574,0.6700193524360657,0.676982581615448,0.9092161059379578,0.8978826999664307,0.9217479825019836,adam
6247,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,None,0,0.6759254693984985,0.6704061985015869,0.6765957355499268,0.901017427444458,0.9004347324371338,0.9023269414901732,rms_prop
6248,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,None,0,0.6732639670372009,0.6738878130912781,0.6742746591567993,0.8800542950630188,0.8591848015785217,0.902965009212494,sgd
6249,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,None,0,0.6752479791641235,0.6750483512878418,0.6750483512878418,0.8990826606750488,0.880969762802124,0.9186639189720154,sgd_momentum
6250,3000,0.0001,512,"[125, 100, 75, 50, 25]",0.1,relu,he_normal,None,1,0.674909257888794,0.6750483512878418,0.6742746591567993,0.8962881565093994,0.8797490000724792,0.9145963191986084,adam
6251,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_uniform,None,0,0.6756351113319397,0.6731141209602356,0.6735009670257568,0.8904558420181274,0.8727573156356812,0.909861981868744,sgd_nesterov
6252,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_normal,l1,1,0.6749576568603516,0.6727272748947144,0.6758220434188843,0.8784157037734985,0.8589342832565308,0.9000831246376038,adam
6253,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_normal,l1,1,0.6746673107147216,0.6696324944496155,0.6738878011703491,0.9006882905960083,0.8817850351333618,0.921741545200348,rms_prop
6254,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_normal,l1,1,0.6751512169837952,0.6742746591567993,0.675435197353363,0.8966459631919861,0.8801088333129883,0.9148201942443848,sgd
6255,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_normal,l1,1,0.6758770942687988,0.6742746591567993,0.6762088894844055,0.9039321541786194,0.8865600228309631,0.9231828451156616,sgd_momentum
6256,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_normal,l1,1,0.6758286952972412,0.6746615052223206,0.6765957355499268,0.9015177488327026,0.8876097798347473,0.916858732700348,sgd_nesterov
6257,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_normal,l1,0,0.6738930463790893,0.6750483512878418,0.6758220434188843,0.8903593420982361,0.8647664189338684,0.9191990494728088,adam
6258,3000,0.001,512,"[125, 100, 75, 50, 25]",0.0,relu,he_normal,l1,0,0.6736510992050171,0.6738878130912781,0.6738878130912781,0.8962945342063904,0.8644551038742065,0.931847095489502,rms_prop
