,Epochs,Learning_Rate,Batch_Size,Neurons,Dropout,Activation,Initializer,Regularizer,Normalization,Acc_train,Acc_val,Acc_test,Optimizer
125,3000,0.0002,256,"[100, 75, 50, 25]",0.1,relu,he_normal,l2,1,0.9468392133712769,0.912350594997406,0.917693841457367,adam
126,3000,0.0002,256,"[100, 75, 50, 25]",0.1,elu,he_normal,l2,1,0.9119462370872498,0.9127490043640136,0.9347912549972536,adam
127,3000,0.0002,256,"[100, 75, 50, 25]",0.1,relu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
128,3000,0.0001,256,"[100, 75, 50, 25]",0.25,relu,random_uniform,l2,1,0.9333001494407652,0.9250996112823486,0.94592444896698,adam
129,3000,0.0002,256,"[100, 75, 50, 25]",0.1,elu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
130,3000,0.0002,256,"[100, 75, 50, 25]",0.1,relu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
131,3000,0.0002,256,"[100, 75, 50, 25]",0.1,elu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
132,3000,0.0002,256,"[100, 75, 50, 25]",0.1,relu,random_uniform,l1,1,0.9439024448394776,0.925896430015564,0.9335984230041504,adam
133,3000,0.0002,256,"[100, 75, 50, 25]",0.1,elu,random_uniform,l1,1,0.8928322553634643,0.9063745141029358,0.9172962069511412,adam
134,3000,0.0002,256,"[100, 75, 50, 25]",0.1,relu,random_uniform,l2,1,0.9538078784942629,0.908764946460724,0.932803189754486,adam
135,3000,0.0002,256,"[100, 75, 50, 25]",0.1,elu,random_uniform,l2,1,0.910701858997345,0.9123506069183348,0.9312127232551576,adam
136,3000,0.0002,256,"[100, 75, 50, 25]",0.1,relu,random_normal,l1,1,0.9471876502037048,0.9163346767425538,0.9292246580123902,adam
137,3000,0.0002,256,"[100, 75, 50, 25]",0.1,elu,random_normal,l1,1,0.8950721740722656,0.909960162639618,0.917693829536438,adam
138,3000,0.0002,256,"[100, 75, 50, 25]",0.1,relu,random_normal,l2,1,0.9501742124557496,0.9151394486427308,0.9248509049415587,adam
139,3000,0.0001,256,"[100, 75, 50, 25]",0.25,elu,random_uniform,l2,1,0.8964161276817322,0.9063745141029358,0.9220675945281982,adam
140,3000,0.0002,256,"[100, 75, 50, 25]",0.1,elu,random_normal,l2,1,0.910353410243988,0.9163346648216248,0.9312127351760864,adam
141,3000,0.0002,512,"[100, 75, 50, 25]",0.25,relu,he_uniform,l1,1,0.9292185187339784,0.9191235065460204,0.9343936443328856,adam
142,3000,0.0002,512,"[100, 75, 50, 25]",0.25,elu,he_uniform,l1,1,0.8874564528465271,0.904780888557434,0.9125248432159424,adam
143,3000,0.0002,512,"[100, 75, 50, 25]",0.25,relu,he_uniform,l2,1,0.9323046326637268,0.9215139389038086,0.9359840989112854,adam
144,3000,0.0002,512,"[100, 75, 50, 25]",0.25,elu,he_uniform,l2,1,0.9027376890182496,0.9103585600852966,0.9276341915130616,adam
145,3000,0.0002,512,"[100, 75, 50, 25]",0.25,relu,he_normal,l1,1,0.9278247833251954,0.9231075763702392,0.937574565410614,adam
146,3000,0.0002,512,"[100, 75, 50, 25]",0.25,elu,he_normal,l1,1,0.886510705947876,0.9035856604576112,0.9077534914016724,adam
147,3000,0.0002,512,"[100, 75, 50, 25]",0.25,relu,he_normal,l2,1,0.9334494829177856,0.9187250971794128,0.9395626187324524,adam
148,3000,0.0002,512,"[100, 75, 50, 25]",0.25,elu,he_normal,l2,1,0.9022399187088012,0.9079681158065795,0.9244532704353332,adam
149,3000,0.0002,512,"[100, 75, 50, 25]",0.25,relu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
150,3000,0.0001,256,"[100, 75, 50, 25]",0.25,relu,random_normal,l1,1,0.9272274851799012,0.9219123482704162,0.9375745534896852,adam
151,3000,0.0002,512,"[100, 75, 50, 25]",0.25,elu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
152,3000,0.0002,512,"[100, 75, 50, 25]",0.25,relu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
153,3000,0.0002,512,"[100, 75, 50, 25]",0.25,elu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
154,3000,0.0002,512,"[100, 75, 50, 25]",0.25,relu,random_uniform,l1,1,0.925584864616394,0.9254980087280272,0.9419483184814452,adam
155,3000,0.0002,512,"[100, 75, 50, 25]",0.25,elu,random_uniform,l1,1,0.8788949728012085,0.8908366680145263,0.8998011946678162,adam
156,3000,0.0002,512,"[100, 75, 50, 25]",0.25,relu,random_uniform,l2,1,0.9366849303245544,0.9227091670036316,0.941153085231781,adam
157,3000,0.0002,512,"[100, 75, 50, 25]",0.25,elu,random_uniform,l2,1,0.8990542531013489,0.907171320915222,0.9228628158569336,adam
158,3000,0.0002,512,"[100, 75, 50, 25]",0.25,relu,random_normal,l1,1,0.9289696455001832,0.9219123601913451,0.9371769547462464,adam
159,3000,0.0002,512,"[100, 75, 50, 25]",0.25,elu,random_normal,l1,1,0.8833250403404236,0.8952191114425659,0.9041749477386476,adam
160,3000,0.0002,512,"[100, 75, 50, 25]",0.25,relu,random_normal,l2,1,0.9330512523651124,0.9199203133583068,0.943538773059845,adam
161,3000,0.0001,256,"[100, 75, 50, 25]",0.25,elu,random_normal,l1,1,0.8796913862228394,0.8936254978179932,0.8958250522613526,adam
162,3000,0.0002,512,"[100, 75, 50, 25]",0.25,elu,random_normal,l2,1,0.9022399187088012,0.9055777072906496,0.9196818947792054,adam
163,3000,0.0002,512,"[100, 75, 50, 25]",0.1,relu,he_uniform,l1,1,0.9447486400604248,0.9179283022880554,0.9284294128417968,adam
164,3000,0.0002,512,"[100, 75, 50, 25]",0.1,elu,he_uniform,l1,1,0.89547039270401,0.9063745141029358,0.9161033749580384,adam
165,3000,0.0002,512,"[100, 75, 50, 25]",0.1,relu,he_uniform,l2,1,0.9400696873664856,0.9179282784461976,0.9252485156059264,adam
166,3000,0.0002,512,"[100, 75, 50, 25]",0.1,elu,he_uniform,l2,1,0.908262825012207,0.911155378818512,0.932803189754486,adam
167,3000,0.0002,512,"[100, 75, 50, 25]",0.1,relu,he_normal,l1,1,0.9543554067611696,0.9207171320915222,0.933996033668518,adam
168,3000,0.0002,512,"[100, 75, 50, 25]",0.1,elu,he_normal,l1,1,0.8961174845695495,0.9107569813728332,0.9168985962867736,adam
169,3000,0.0002,512,"[100, 75, 50, 25]",0.1,relu,he_normal,l2,1,0.9458934783935546,0.9107569694519044,0.9296222686767578,adam
170,3000,0.0002,512,"[100, 75, 50, 25]",0.1,elu,he_normal,l2,1,0.9138377428054808,0.91713148355484,0.9347912549972536,adam
171,3000,0.0002,512,"[100, 75, 50, 25]",0.1,relu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
172,3000,0.0001,256,"[100, 75, 50, 25]",0.25,relu,random_normal,l2,1,0.9333001613616944,0.923505973815918,0.9455268383026124,adam
173,3000,0.0002,512,"[100, 75, 50, 25]",0.1,elu,zeros,l1,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
174,3000,0.0002,512,"[100, 75, 50, 25]",0.1,relu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
175,3000,0.0002,512,"[100, 75, 50, 25]",0.1,elu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
176,3000,0.0002,512,"[100, 75, 50, 25]",0.1,relu,random_uniform,l1,1,0.9535589933395384,0.913545823097229,0.930417501926422,adam
177,3000,0.0002,512,"[100, 75, 50, 25]",0.1,elu,random_uniform,l1,1,0.8962170243263244,0.9047808766365052,0.9161033749580384,adam
178,3000,0.0002,512,"[100, 75, 50, 25]",0.1,relu,random_uniform,l2,1,0.9514683961868288,0.9215139389038086,0.9339960217475892,adam
