Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,Stability,Survivors
-0.11111111111111116,0.33333333333333304,0.41176470588235303,-0.19999999999999996,-1.0,-0.29037275170933075,0.17485869371224982,0.19999999999999996,-0.5
-0.3333333333333335,0.33333333333333304,0.41176470588235303,-0.19999999999999996,-1.0,0.18021356881040496,0.04327572639947053,0.6000000000000001,-1.0
0.5555555555555554,-0.3333333333333335,1.0000000000000002,-0.19999999999999996,-1.0,0.2932984575625086,-0.3384505611001859,0.19999999999999996,-1.0
0.11111111111111094,0.11111111111111094,1.0000000000000002,-0.19999999999999996,0.3333333333333335,0.3653963742025257,0.019393485648875775,0.8,-1.0
-1.0,0.11111111111111094,-0.2941176470588236,-0.19999999999999996,0.3333333333333335,-1.0,0.3110294660555477,0.19999999999999996,1.0
-1.0,-1.0,0.41176470588235303,-0.19999999999999996,-1.0,-1.0,-1.0,-0.4,1.0
0.7777777777777777,-1.0,-0.2941176470588236,-0.9999999999999999,-1.0,0.4833413878203272,-1.0,-1.0,-1.0
-0.5555555555555557,-0.5555555555555557,-1.0,-0.9999999999999999,-1.0,-0.0635927010495364,0.1549814454605214,0.3999999999999999,1.0
-1.0,0.11111111111111094,-0.2941176470588236,-0.9999999999999999,-1.0,-1.0,0.3110294660555477,-0.4,0.0
-1.0,0.7777777777777777,0.41176470588235303,-0.19999999999999996,0.3333333333333335,-1.0,0.29941463847550587,0.19999999999999996,1.0
-1.0,1.0,1.0000000000000002,-0.9999999999999999,1.0,-1.0,0.36359475841677136,0.8,-1.0
-0.3333333333333335,-0.3333333333333335,1.0000000000000002,-0.9999999999999999,-1.0,0.34435616608181197,0.07381377455221316,0.6000000000000001,1.0
-0.5555555555555557,-0.5555555555555557,-1.0,-0.19999999999999996,0.3333333333333335,-0.0635927010495364,0.1549814454605214,0.8,-0.5
0.11111111111111094,0.7777777777777777,-0.2941176470588236,-0.19999999999999996,-1.0,0.11890990907691856,-0.09836904215083664,0.8,0.0
1.0,-0.7777777777777779,-0.2941176470588236,-0.19999999999999996,-1.0,0.38972801134855506,0.027644702253737163,-0.8,0.0
0.11111111111111094,-1.0,0.41176470588235303,-0.9999999999999999,-1.0,0.2632745397655223,-1.0,-0.19999999999999996,1.0
0.5555555555555554,-0.5555555555555557,1.0000000000000002,-0.9999999999999999,-1.0,0.1913837167596153,-0.5552152625515667,0.6000000000000001,0.5
0.11111111111111094,-1.0,0.41176470588235303,1.0,-1.0,0.2152703697015319,-1.0,0.8,0.5
0.11111111111111094,0.7777777777777777,0.41176470588235303,-0.19999999999999996,0.3333333333333335,0.11890990907691856,-0.09836904215083664,0.8,0.0
0.7777777777777777,0.7777777777777777,0.41176470588235303,-0.19999999999999996,-1.0,0.3343246728897542,0.1854528531031654,0.19999999999999996,-1.0
-0.5555555555555557,0.7777777777777777,-0.2941176470588236,-0.19999999999999996,-1.0,0.6544386449280792,-0.05777897954571509,0.19999999999999996,-0.5
-0.7777777777777779,0.33333333333333304,-1.0,-0.19999999999999996,-1.0,-0.2309603154645311,0.3976548791726142,-0.19999999999999996,0.5
0.7777777777777777,-0.7777777777777779,-0.2941176470588236,-0.19999999999999996,0.3333333333333335,0.45593051726445255,-0.5605174230498844,-1.0,-0.5
-0.3333333333333335,0.7777777777777777,-0.2941176470588236,-0.9999999999999999,-1.0,0.08991150399255488,-0.06073969480933117,-0.4,-0.5
0.7777777777777777,-1.0,-0.2941176470588236,-0.9999999999999999,-1.0,0.5744925802280652,-1.0,-0.4,0.0
0.5555555555555554,-0.11111111111111116,-1.0,-0.19999999999999996,-1.0,0.4122688816789297,0.20312103526273506,0.3999999999999999,1.0
0.5555555555555554,0.11111111111111094,1.0000000000000002,-0.19999999999999996,-1.0,0.09775076433149432,0.3675285247107687,0.6000000000000001,0.5
0.5555555555555554,-1.0,-0.2941176470588236,-0.9999999999999999,-1.0,0.5076812971494835,-1.0,-1.0,-0.5
-0.5555555555555557,-0.5555555555555557,-0.2941176470588236,-0.9999999999999999,-1.0,-0.0635927010495364,0.1549814454605214,0.0,-1.0
-0.5555555555555557,0.11111111111111094,1.0000000000000002,-0.9999999999999999,-1.0,0.08516829496272682,0.24968624995192767,0.3999999999999999,0.5
1.0,0.5555555555555554,1.0000000000000002,-0.19999999999999996,-1.0,0.44072941242950336,0.013909161857234897,0.19999999999999996,1.0
-0.11111111111111116,-1.0,0.41176470588235303,-0.19999999999999996,0.3333333333333335,0.29289183999756596,-1.0,-0.6,1.0
0.33333333333333304,0.33333333333333304,-0.2941176470588236,-0.9999999999999999,-1.0,0.31628907299068176,0.06862658273140188,0.19999999999999996,1.0
-0.11111111111111116,0.7777777777777777,-1.0,-0.19999999999999996,-1.0,0.1019997317914485,0.14396058270918055,0.0,-0.5
0.7777777777777777,0.7777777777777777,1.0000000000000002,-0.19999999999999996,-1.0,0.3343246728897542,0.1854528531031654,0.8,-0.5
0.5555555555555554,-0.3333333333333335,1.0000000000000002,-0.9999999999999999,-1.0,0.2932984575625086,-0.3384505611001859,-0.19999999999999996,-0.5
